,timestamp,BVN,GOLD,NEM,KGC,HMY,CDE,GFI
347,2005-05-02,21.29,22.52,37.72,5.44,6.32,3.08,10.06
348,2005-05-03,21.9,22.76,38.12,5.45,6.17,3.22,9.88
349,2005-05-04,22.09,23.2,38.86,5.56,6.26,3.39,9.92
350,2005-05-05,21.99,23.14,38.47,5.43,6.17,3.39,9.81
351,2005-05-06,21.63,23.1,38.12,5.56,6.19,3.2895,9.88
352,2005-05-09,21.2,23.12,38.29,5.49,6.4,3.15,10.13
353,2005-05-10,20.83,22.79,37.53,5.46,6.14,3.15,9.8
354,2005-05-11,21.25,22.52,37.18,5.33,6.4,3.1,9.83
355,2005-05-12,20.5,21.74,36.09,5.23,6.26,2.97,9.57
356,2005-05-13,19.97,21.55,35.31,4.98,6.12,2.91,9.57
357,2005-05-16,20.15,21.38,35.1,4.95,6.15,2.77,9.61
358,2005-05-17,20.25,21.72,35.51,4.98,6.41,2.87,9.84
359,2005-05-18,20.74,22.01,36.1,5.03,6.8,2.89,10.17
360,2005-05-19,20.98,22.02,35.99,5.08,6.76,2.84,9.93
361,2005-05-20,20.4,21.62,35.43,5.06,6.93,2.75,9.75
362,2005-05-23,20.6,21.9,35.91,5.23,7.36,2.88,9.96
363,2005-05-24,21.1,22.43,36.77,5.41,7.44,2.95,10.48
364,2005-05-25,20.77,22.61,36.69,5.25,7.29,2.95,10.56
365,2005-05-26,20.91,22.14,36.5,5.09,7.19,2.86,10.61
366,2005-05-27,21.57,22.99,37.59,5.34,7.67,3.17,10.99
367,2005-05-30,,,,,,,
368,2005-05-31,21.38,22.99,37.24,5.33,7.65,3.33,10.99
369,2005-06-01,21.87,23.27,37.76,5.35,7.95,3.51,11.42
370,2005-06-02,21.95,22.89,37.65,5.6,7.84,3.36,10.94
371,2005-06-03,22.02,23.2,38.05,5.71,7.84,3.39,10.72
372,2005-06-06,22.05,23.01,37.61,5.56,7.6,3.31,10.6
373,2005-06-07,21.37,22.59,36.88,5.38,7.29,3.27,10.25
374,2005-06-08,21.32,22.7,36.75,5.44,7.28,3.19,10.2
375,2005-06-09,21.45,22.77,36.87,5.34,7.3,3.26,10.23
376,2005-06-10,22.06,23.47,38.07,5.58,7.86,3.54,10.65
377,2005-06-13,22.47,23.45,38.53,5.74,7.9,3.57,10.7
378,2005-06-14,22.17,23.14,38.08,5.56,7.73,3.43,10.6
379,2005-06-15,22.29,23.61,38.39,5.66,7.76,3.57,10.6
380,2005-06-16,23.21,24.51,39.72,5.93,8.02,3.73,10.9
